"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19"
"1" "0" "1" "1" "6" "2" "2" "999" "2" "1" "4" "6" "2" "2" "2" "0" "2" "3" "3" "3"
"2" "0" "2" "1" "1" "999" "2" "5" "2" "0" "2" "3" "2" "3" "2" "1" "2" "3" "4" "4"
"3" "1" "1" "1" "1" "999" "2" "5" "999" "0" "1" "3" "2" "4" "2" "0" "2" "2" "4" "4"
"4" "1" "5" "1" "1" "999" "2" "5" "2" "1" "1" "6" "2" "1" "2" "0" "2" "3" "4" "4"
"5" "0" "5" "1" "1" "999" "2" "999" "999" "0" "2" "6" "2" "1" "2" "0" "2" "1" "4" "4"
"6" "0" "4" "1" "1" "999" "2" "1" "2" "1" "2" "3" "2" "3" "2" "0" "2" "4" "4" "4"
"7" "1" "5" "1" "1" "999" "1" "1" "1" "0" "2" "3" "2" "1" "2" "0" "2" "4" "4" "4"
"8" "1" "5" "1" "1" "999" "2" "6" "999" "1" "1" "3" "2" "1" "2" "0" "2" "4" "4" "4"
"9" "1" "1" "1" "1" "999" "2" "1" "2" "1" "1" "3" "2" "2" "2" "0" "2" "3" "4" "4"
"10" "0" "4" "1" "1" "999" "2" "5" "999" "0" "1" "6" "2" "3" "2" "0" "2" "3" "4" "4"
"11" "1" "1" "1" "1" "999" "2" "7" "2" "1" "2" "3" "2" "1" "2" "0" "2" "3" "4" "4"
"12" "1" "1" "1" "1" "999" "2" "1" "1" "0" "2" "3" "1" "6" "2" "0" "2" "3" "4" "4"
"13" "1" "1" "1" "1" "999" "2" "5" "999" "2" "2" "1" "1" "6" "2" "1" "1" "2" "4" "4"
"14" "0" "2" "1" "1" "999" "2" "1" "999" "2" "3" "6" "2" "3" "2" "0" "2" "3" "4" "4"
"15" "1" "1" "1" "1" "999" "2" "1" "1" "0" "1" "6" "2" "4" "2" "0" "2" "3" "4" "4"
"16" "0" "5" "1" "1" "999" "2" "5" "1" "1" "2" "3" "2" "1" "2" "0" "2" "3" "3" "4"
"17" "1" "2" "1" "1" "999" "2" "1" "0" "2" "1" "3" "1" "6" "2" "1" "2" "2" "4" "4"
"18" "1" "1" "1" "1" "999" "2" "1" "1" "0" "2" "3" "2" "6" "2" "1" "1" "2" "3" "4"
"19" "1" "1" "1" "1" "999" "2" "5" "1" "0" "1" "3" "2" "6" "2" "1" "2" "3" "4" "4"
"20" "1" "2" "1" "1" "999" "2" "1" "1" "1" "2" "3" "1" "6" "2" "1" "2" "2" "3" "4"
"21" "0" "1" "1" "1" "999" "2" "5" "999" "0" "2" "3" "2" "5" "2" "0" "1" "2" "4" "4"
"22" "0" "1" "1" "1" "999" "2" "1" "1" "0" "2" "1" "1" "3" "2" "0" "2" "3" "4" "4"
"23" "1" "1" "1" "1" "999" "2" "6" "2" "2" "2" "3" "1" "4" "2" "0" "2" "1" "4" "4"
