"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19"
1 2 2 1 1 1 999 3 1 4 1 1 3 2 1 1 3 3 2
1 3 2 3 999 1 2 3 3 2 3 1 4 2 2 1 3 4 4
2 2 2 3 999 1 2 999 3 3 3 1 1 2 1 1 2 4 4
4 4 2 3 999 1 2 3 1 3 1 1 5 2 1 1 3 4 4
4 4 2 3 999 1 999 999 3 2 1 1 5 2 1 1 1 4 4
1 1 2 3 999 1 3 3 1 2 3 1 4 2 1 1 4 4 4
4 4 2 3 999 2 3 1 3 2 3 1 5 2 1 1 4 4 4
4 4 2 3 999 1 1 999 1 3 3 1 5 2 1 1 4 4 4
2 2 2 3 999 1 3 3 1 3 3 1 3 2 1 1 3 4 4
1 1 2 3 999 1 2 999 3 3 1 1 4 2 1 1 3 4 4
2 2 2 3 999 1 4 3 1 2 3 1 5 2 1 1 3 4 4
2 2 2 3 999 1 3 1 3 2 3 2 6 2 1 1 3 4 4
2 2 2 3 999 1 2 999 2 2 4 2 6 2 2 2 2 4 4
1 3 2 3 999 1 3 999 2 1 1 1 4 2 1 1 3 4 4
2 2 2 3 999 1 3 1 3 3 1 1 1 2 1 1 3 4 4
4 4 2 3 999 1 2 1 1 2 3 1 5 2 1 1 3 3 4
2 3 2 3 999 1 3 2 2 3 3 2 6 2 2 1 2 4 4
2 2 2 3 999 1 3 1 3 2 3 1 6 2 2 2 2 3 4
2 2 2 3 999 1 2 1 3 3 3 1 6 2 2 1 3 4 4
2 3 2 3 999 1 3 1 1 2 3 2 6 2 2 1 2 3 4
1 2 2 3 999 1 2 999 3 2 3 1 2 2 1 2 2 4 4
1 2 2 3 999 1 3 1 3 2 4 2 4 2 1 1 3 4 4
2 2 2 3 999 1 1 3 2 2 3 2 1 2 1 1 1 4 4
2 2 2 3 999 1 3 3 1 2 3 1 3 2 1 1 2 4 4
1 3 2 3 999 1 3 999 1 1 4 2 4 2 1 1 2 4 4
1 1 2 3 999 1 4 999 1 2 1 1 4 2 1 1 4 4 4
1 1 2 4 1 1 3 1 2 1 4 2 4 2 1 1 2 4 4
2 3 2 3 999 1 2 3 1 1 4 2 6 2 2 1 3 4 4
2 1 2 3 999 1 2 1 1 1 3 2 6 2 2 1 2 2 4
